iter	Logloss
0	0.6861128681
1	0.6800343209
2	0.6732712382
3	0.6667572392
4	0.6611822206
5	0.6551679458
6	0.649699603
7	0.644564001
8	0.6387170925
9	0.6330760053
10	0.6274366513
11	0.6224520525
12	0.6175610421
13	0.6125340522
14	0.607815429
15	0.6029862591
16	0.5987066991
17	0.5943255493
18	0.5902305905
19	0.5861032663
20	0.5817817187
21	0.5773016289
22	0.5726965159
23	0.5689556974
24	0.5653270303
25	0.5615708776
26	0.5573848372
27	0.5537945135
28	0.5501382223
29	0.5463628692
30	0.5430723616
31	0.5392187062
32	0.5362323246
33	0.5332716128
34	0.5302727773
35	0.527463914
36	0.5244395536
37	0.5215087899
38	0.5184122305
39	0.5156277189
40	0.5129148866
41	0.5101136716
42	0.5074739299
43	0.5046239455
44	0.5019423473
45	0.4996875808
46	0.4971929159
47	0.4951756027
48	0.492928918
49	0.4901396863
50	0.4883188156
51	0.4856484018
52	0.483527311
53	0.4810625955
54	0.4787997121
55	0.4764798567
56	0.4743443277
57	0.472150734
58	0.469882334
59	0.467824167
60	0.4663584948
61	0.4644907946
62	0.4625795899
63	0.4607083338
64	0.4587024196
65	0.4571848844
66	0.4554158077
67	0.4539482667
68	0.4524012284
69	0.45070216
70	0.4491243144
71	0.4475337929
72	0.445932829
73	0.4445869889
74	0.4432146907
75	0.4416213939
76	0.4403915368
77	0.4390308556
78	0.4377308079
79	0.4364885412
80	0.435204907
81	0.433994544
82	0.4330333071
83	0.4319685843
84	0.4311130152
85	0.4302752129
86	0.429227869
87	0.4280976244
88	0.4270284034
89	0.4260311409
90	0.4250511287
91	0.4240801451
92	0.4232088267
93	0.4222908674
94	0.4212410125
95	0.4203013671
96	0.4194924141
97	0.4188220128
98	0.4178151836
99	0.4170829861
100	0.416221139
101	0.4153012852
102	0.4147808724
103	0.4141905507
104	0.4133787103
105	0.4127183967
106	0.4120645112
107	0.4114601034
108	0.4105460485
109	0.4097723569
110	0.4091897452
111	0.4085887904
112	0.4080495868
113	0.4074066228
114	0.4069057926
115	0.406273045
116	0.4055547435
117	0.4050841957
118	0.4046283171
119	0.4039767807
120	0.403437816
121	0.402813642
122	0.4023441311
123	0.4020251268
124	0.4016663676
125	0.4012272528
126	0.4008290124
127	0.4001622285
128	0.399710996
129	0.3992064711
130	0.3987628333
131	0.398313249
132	0.3977975312
133	0.3974419064
134	0.3970466305
135	0.3967097547
136	0.3961657442
137	0.3959551365
138	0.3955797034
139	0.3951235063
140	0.3946807696
141	0.3942705478
142	0.3939818374
143	0.3935188454
144	0.3930861369
145	0.3927659916
146	0.3924424064
147	0.3920305819
148	0.3914948593
149	0.3911048447
150	0.3907238629
151	0.3905747148
152	0.3902850566
153	0.3899851869
154	0.3896496713
155	0.3893573021
156	0.3891550829
157	0.3889524091
158	0.3887146354
159	0.3885605043
160	0.3881089195
161	0.3879171887
162	0.3875898466
163	0.3872153621
164	0.3870127389
165	0.3866304036
166	0.3863481053
167	0.3860947157
168	0.3857209619
169	0.3854754546
170	0.3852031624
171	0.3850433122
172	0.3848923589
173	0.3846400829
174	0.3844727246
175	0.3843015121
176	0.3840497528
177	0.383793526
178	0.3835978672
179	0.3834061088
180	0.3832841202
181	0.3831318453
182	0.3828344556
183	0.3825945485
184	0.3824264343
185	0.3822744525
186	0.3820541942
187	0.3817974739
188	0.3817014919
189	0.3815104956
190	0.3813957088
191	0.3811083624
192	0.3808634979
193	0.3807123895
194	0.3805965945
195	0.3804530587
196	0.3803236623
197	0.3801689973
198	0.3799955493
199	0.3798628705
200	0.3796272726
201	0.3795000518
202	0.379386864
203	0.37922627
204	0.3790104684
205	0.3788230342
206	0.378687553
207	0.3785034079
208	0.3783967012
209	0.3781897215
210	0.378030862
211	0.3778831914
212	0.3777719006
213	0.3776490506
214	0.3775493079
215	0.3773790432
216	0.3772256473
217	0.3770714733
218	0.3769668575
219	0.3768760514
220	0.3768086268
221	0.3766483213
222	0.3764866639
223	0.3763977633
224	0.3762790521
225	0.376168971
226	0.3760653228
227	0.375980483
228	0.3758785671
229	0.3757344965
230	0.3756642009
231	0.37559713
232	0.3755342068
233	0.3754416641
234	0.3753568692
235	0.3752297315
236	0.3751265667
237	0.375057795
238	0.3749973372
239	0.3749285148
240	0.3748152948
241	0.374742707
242	0.3746258442
243	0.3744882775
244	0.3744186013
245	0.3743599072
246	0.3742650656
247	0.3741242538
248	0.3740413946
249	0.3739556361
250	0.3738989909
251	0.3737380697
252	0.3736674697
253	0.3736055723
254	0.3735338853
255	0.3734590847
256	0.3733227905
257	0.3732247703
258	0.3731673551
259	0.3731069953
260	0.3729956125
261	0.3728884985
