iter	Logloss
262	0.3728526966
263	0.3727723068
264	0.3726790241
265	0.3726133452
266	0.3725439444
267	0.3724302107
268	0.3722747829
269	0.372208467
270	0.3721461089
271	0.3720750246
272	0.3720117653
273	0.371958729
274	0.371855547
275	0.3717662984
276	0.3716591713
277	0.3715951617
278	0.3715128129
279	0.3714480581
280	0.3713789073
281	0.3713233656
282	0.3712491218
283	0.3711561288
284	0.3710932751
285	0.3710306267
286	0.3709725946
287	0.3709015634
288	0.370824351
289	0.3707569794
290	0.3706767884
291	0.3705764434
292	0.3705189188
293	0.370476208
294	0.3704122744
295	0.3703474899
296	0.3702856428
297	0.3702357626
298	0.3701739122
299	0.3701141565
300	0.3700649865
301	0.3699959252
302	0.3699399451
303	0.3698934594
304	0.3698544157
305	0.3697841171
306	0.3697081904
307	0.3695930487
308	0.3695087772
309	0.3694495136
310	0.3693716639
311	0.3693221081
312	0.3692303926
313	0.3691546684
314	0.3691223741
315	0.36907247
316	0.3690282084
317	0.3689391909
318	0.3688494191
319	0.3687965627
320	0.3687512714
321	0.3686949732
322	0.3686393064
323	0.3685838417
324	0.3685153477
325	0.3684611717
326	0.3683900771
327	0.3683476424
328	0.3682902686
329	0.3682171427
330	0.3681350391
331	0.3680889466
332	0.3680172818
333	0.3679662856
334	0.3679142732
335	0.3678570187
336	0.3678069832
337	0.367736874
338	0.367689491
339	0.3676078021
340	0.3675463142
341	0.3674989961
342	0.3674644726
343	0.3673748389
344	0.3673254643
345	0.3672764691
346	0.3672370845
347	0.3671391714
348	0.3671019636
349	0.3670115089
350	0.3669622414
351	0.3669262964
352	0.3668432107
353	0.3668068102
354	0.3667495203
355	0.3667143579
356	0.3666719283
357	0.3666490488
358	0.3666063467
359	0.3665698809
360	0.3665239131
361	0.3664667323
362	0.3664127376
363	0.3663339745
364	0.3662812593
365	0.3662371071
366	0.3661758829
367	0.3661237755
368	0.3660780541
369	0.3660319078
370	0.3660069534
371	0.3659777622
372	0.3659167136
373	0.3658766643
374	0.365841141
375	0.365797903
376	0.3657599507
377	0.3657205484
378	0.3656712218
379	0.3656253374
380	0.3655807626
381	0.3655459746
382	0.3654962507
383	0.3653548769
384	0.3653244051
385	0.3652814955
386	0.365234897
387	0.3651692872
388	0.3651308283
389	0.3650864656
390	0.3650446038
391	0.3650068034
392	0.3649202911
393	0.3648679151
394	0.3648310742
395	0.3647810002
396	0.3647323497
397	0.3646678767
398	0.3645972632
399	0.3645524881
